Panamax Bulk Period Fixtures,,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Created 17 July 2014 11:19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Period,Ballast Bonus,Owner
28/11/2011,Dumun,2010,82800,0,PERIOD,CNR,GIBRALTAR,,ATLANTIC,ATLANTIC,28/11/2011,28/11/2011,13750,$/Day,3-5 Months,,Wisdom Marine Lines
25/11/2011,Kesaria,2009,81932,0,PERIOD,GLENCORE,KOSICHANG,,WORLD WIDE,WORLD WIDE,30/11/2011,04/12/2011,13000,$/Day,4-6 Months,,Andriaki Shpg. Co.
25/11/2011,Yasa Pioneer,2006,82849,0,PERIOD,CARGILL,NORTH CHINA,,WORLD WIDE,WORLD WIDE,05/12/2011,15/12/2011,12750,$/Day,1 Years,,Yasa Shpg. Industry
24/11/2011,Xin Shun,2002,75846,0,PERIOD,SW SHIPPING,FAR EAST,,WORLD WIDE,WORLD WIDE,01/01/2012,01/02/2012,13000,$/Day,35-37 Months,,IMC Ship Man.
24/11/2011,Thetis,1993,73653,0,PERIOD,VITOL,KAOHSIUNG,,WORLD WIDE,WORLD WIDE,26/11/2011,01/12/2011,12250,$/Day,3-5 Months,,Poseidon Shpg. Co.
23/11/2011,Ever Excellent,1998,73965,0,PERIOD,BEIBU GULF,TIANJIN,,WORLD WIDE,WORLD WIDE,05/12/2011,15/12/2011,12250,$/Day,1 Years,,Dr. Peters
21/11/2011,COS Joy,2001,74073,0,PERIOD,CARGILL,Krishnapatnam,,WORLD WIDE,WORLD WIDE,18/11/2011,24/11/2011,14000,$/Day,4-6 Months,,COSCO (Hong Kong)
18/11/2011,Nirefs,2001,75311,0,PERIOD,MORGAN STANLEY,QINGDAO,,WORLD WIDE,WORLD WIDE,11/12/2011,25/12/2011,12250,$/Day,11-13 Months,,Diana Shipping Inc.
18/11/2011,Pearl Seas,2006,74483,0,PERIOD,CARGILL,CHINA,,WORLD WIDE,WORLD WIDE,25/11/2011,05/12/2011,12750,$/Day,23-25 Months,,Paragon Shpg.
18/11/2011,Spar Neptun,1994,70101,0,PERIOD,WBC,AUGHINISH,,WORLD WIDE,WORLD WIDE,20/11/2011,25/11/2011,22000,$/Day,4-6 Months,,Spar Shipping A/S
17/11/2011,Attallia,2010,82800,0,PERIOD,CARGILL,YANTAI,,WORLD WIDE,WORLD WIDE,18/11/2011,23/11/2011,13000,$/Day,11-13 Months,,Andriaki Shpg. Co.
17/11/2011,CK Angie,2011,82000,0,PERIOD,CNR,ULSAN,,WORLD WIDE,WORLD WIDE,20/11/2011,30/11/2011,12750,$/Day,4-7 Months,,
17/11/2011,CK Bluebelle,2011,81146,0,PERIOD,CNR,ULSAN,,WORLD WIDE,WORLD WIDE,02/12/2011,10/12/2011,12750,$/Day,11-13 Months,,
17/11/2011,Nirefs,2001,75311,0,PERIOD,MORGAN STANLEY,QINGDAO,,WORLD WIDE,WORLD WIDE,15/12/2011,15/12/2011,12250,$/Day,13-16 Months,,Diana Shipping Inc.
10/11/2011,Galateia,2011,81359,0,PERIOD,COBELFRET,PARADIP,,WORLD WIDE,WORLD WIDE,31/10/2011,31/10/2011,14000,$/Day,4-6 Months,,Golden Bridge
10/11/2011,Yasa Team,2006,75621,0,PERIOD,GLENCORE,Dangjin,,WORLD WIDE,WORLD WIDE,20/11/2011,25/11/2011,13000,$/Day,4-6 Months,,Yasa Shpg. Industry
07/11/2011,Erato,2004,74444,0,PERIOD,HMM,FAR EAST,,WORLD WIDE,WORLD WIDE,01/12/2011,01/12/2011,12200,$/Day,13-16 Months,,Diana Shipping Inc.
04/11/2011,Kind Seas,1999,72493,0,PERIOD,VITOL,JINTANG,,WORLD WIDE,WORLD WIDE,02/11/2011,05/11/2011,12250,$/Day,11-13 Months,,Paragon Shpg.
04/11/2011,Golden Seas,2006,74475,0,PERIOD,VITOL,POHANG,,WORLD WIDE,WORLD WIDE,11/11/2011,12/11/2011,12250,$/Day,23-25 Months,,Paragon Shpg.
02/11/2011,Anny Petrakis,2008,75204,0,PERIOD,GLENCORE,CHINA,,WORLD WIDE,WORLD WIDE,15/11/2011,15/11/2011,13000,$/Day,1 Years,,Iolcos Hellenic
31/10/2011,Trans Pacific,2004,74403,0,PERIOD,ALFRED C.TOEPFER,TAICHUNG,,WORLD WIDE,WORLD WIDE,03/11/2011,08/11/2011,12500,$/Day,4-6 Months,,Chemikalien Seetrans
28/10/2011,Lucky Sunday,2009,80372,0,PERIOD,CNR,TIANJIN,,WORLD WIDE,WORLD WIDE,29/10/2011,02/11/2011,14500,$/Day,4-6 Months,,Silver Lake Shpg.
28/10/2011,Naias,2006,73546,0,PERIOD,GMI,YINGKOU,,WORLD WIDE,WORLD WIDE,25/10/2011,25/10/2011,14000,$/Day,4-6 Months,,Diana Shipping Inc.
27/10/2011,Ocean Dalian,2011,75700,0,PERIOD,STX PAN OCEAN,CJK,,WORLD WIDE,WORLD WIDE,28/10/2011,02/11/2011,14000,$/Day,4-6 Months,,
26/10/2011,Afovos,2001,74350,0,PERIOD,BUNGE,BUTTERWORTH,,WORLD WIDE,WORLD WIDE,05/11/2011,10/11/2011,14000,$/Day,4-6 Months,,Aegean Bulk Co. Inc.
26/10/2011,Africa Graeca,2002,73900,0,PERIOD,BUNGE,YANTAI,,WORLD WIDE,WORLD WIDE,30/10/2011,01/11/2011,14000,$/Day,4-6 Months,,Angelakos Ltd.
26/10/2011,Agios Sostis,2009,76659,0,PERIOD,BUNGE,SOUTH KOREA,,WORLD WIDE,WORLD WIDE,08/11/2011,10/11/2011,14000,$/Day,4-6 Months,,Dynacom Tankers Mngt
25/10/2011,Fortune East,2000,75615,0,PERIOD,BEIBU GULF,SAMCHEON PO,,WORLD WIDE,WORLD WIDE,30/10/2011,31/10/2011,14100,$/Day,4-6 Months,,Continental Intl.
25/10/2011,Lucky Sunday,2009,80372,0,PERIOD,VITOL,TIANJIN,,WORLD WIDE,WORLD WIDE,27/10/2011,01/11/2011,13250,$/Day,11-13 Months,,Silver Lake Shpg.
21/10/2011,Giovanni Battista Bottiglieri,1999,75265,0,PERIOD,CMN,GIBRALTAR,,SINGAPORE-JAPAN,SINGAPORE-JAPAN,19/10/2011,19/10/2011,26500,$/Day,100 Days,,"Bottiglieri, Rizzo"
21/10/2011,Ocean Emperor,1998,74002,0,PERIOD,NORTH CHINA SHIPPING,LUO YUAN WAN,,WORLD WIDE,WORLD WIDE,30/10/2011,31/10/2011,13500,$/Day,4-6 Months,,Oceanfleet Shipping
20/10/2011,Centrans Rhea,2011,92500,0,PERIOD,SAMSUN,XINGANG,,WORLD WIDE,WORLD WIDE,24/10/2011,29/10/2011,12500,$/Day,4-6 Months,,Centrans Ocean
20/10/2011,Inception,2011,80237,0,PERIOD,ALFRED C.TOEPFER,JINHAE,,WORLD WIDE,WORLD WIDE,20/10/2011,25/10/2011,14500,$/Day,4-6 Months,,
20/10/2011,Okialos,1994,69149,0,PERIOD,CNR,AUGHINISH,,ATLANTIC,ATLANTIC,21/10/2011,26/10/2011,19000,$/Day,3-5 Months,,Odysea Carriers SA
19/10/2011,Prabhu Satram,2004,75926,0,PERIOD,HANJIN,NIIHAMA,,WORLD WIDE,WORLD WIDE,19/10/2011,19/10/2011,15500,$/Day,3-5 Months,,Tolani Group of Shpg
19/10/2011,Fortune Sunny,2008,82338,0,PERIOD,AQUAVITA,ZHOUSHAN,,WORLD WIDE,WORLD WIDE,20/10/2011,24/10/2011,16000,$/Day,3-5 Months,,Cido Shipping
19/10/2011,Betis,2004,76801,0,PERIOD,AQUAVITA,CJK,,WORLD WIDE,WORLD WIDE,01/11/2011,10/11/2011,14500,$/Day,4-6 Months,,Rewood Ocean Shpg.
19/10/2011,Shandong Hai Chang,2011,75000,0,PERIOD,ZHEN HUA SHIPPING,Penglai,,WORLD WIDE,WORLD WIDE,23/10/2011,25/10/2011,14750,$/Day,4-6 Months,,
18/10/2011,Golden Eminence,2010,79474,0,PERIOD,PACIFIC BULK,LUMUT,,WORLD WIDE,WORLD WIDE,01/11/2011,05/11/2011,13500,$/Day,1 Years,,Golden Ocean
17/10/2011,North Princess,1996,71290,0,PERIOD,CARGILL,HUANGPU,,WORLD WIDE,WORLD WIDE,10/11/2011,14/11/2011,13000,$/Day,10-14 Months,,Kassian Maritime
17/10/2011,Bahia,2004,76801,0,PERIOD,SW SHIPPING,SURABAYA,,WORLD WIDE,WORLD WIDE,27/10/2011,29/10/2011,14250,$/Day,1 Years,,Rewood Ocean Shpg.
17/10/2011,Volumnia,2002,76015,0,PERIOD,CNR,XIAMEN,,WORLD WIDE,WORLD WIDE,30/10/2011,04/11/2011,15000,$/Day,4-6 Months,,British Marine
17/10/2011,Yong Li,2001,75382,0,PERIOD,TORM,MAILIAO,,WORLD WIDE,WORLD WIDE,17/10/2011,21/10/2011,15000,$/Day,4-6 Months,,COSCO (Hong Kong)
14/10/2011,Navios Star,2002,76662,0,PERIOD,STX PAN OCEAN,ZHANGJIAGANG,,WORLD WIDE,WORLD WIDE,22/10/2011,27/10/2011,14500,$/Day,5-7 Months,,Navios Holdings
14/10/2011,Mary Gorgias,2008,75204,0,PERIOD,BUNGE,XIAMEN,,WORLD WIDE,WORLD WIDE,19/10/2011,25/10/2011,13000,$/Day,11-13 Months,,Iolcos Hellenic
14/10/2011,Elly,1999,74001,0,PERIOD,BRITISH MARINE,SOUTH CHINA,,WORLD WIDE,WORLD WIDE,20/10/2011,25/10/2011,15000,$/Day,3-5 Months,,Shelton Navigation
14/10/2011,Coral Sea,1997,73939,0,PERIOD,CNR,ZHOUSHAN,,WORLD WIDE,WORLD WIDE,14/10/2011,14/10/2011,14750,$/Day,4-6 Months,,Hachiuma Steamship
14/10/2011,Christina IV,1999,72493,0,PERIOD,PACIFIC BULK,Chaozhou,,WORLD WIDE,WORLD WIDE,22/10/2011,28/10/2011,14500,$/Day,4-6 Months,,Modion Maritime S.A.
13/10/2011,Nord Phoenix,2007,82471,0,PERIOD,NORDEN,XINGANG,,WORLD WIDE,WORLD WIDE,16/10/2011,20/10/2011,14750,$/Day,4-6 Months,,Kowa Marine Service
13/10/2011,Newlead Victoria,2002,75966,0,PERIOD,OLDENDORFF,ROTTERDAM,,WORLD WIDE,WORLD WIDE,20/10/2011,25/10/2011,24000,$/Day,3-5 Months,,NewLead Holdings
13/10/2011,Pantelis,2000,74020,0,PERIOD,AQUAVITA,SHANGHAI,,WORLD WIDE,WORLD WIDE,04/10/2011,04/10/2011,14500,$/Day,5-6 Months,,Euroseas Ltd.
13/10/2011,Jia Ho,1997,71678,0,PERIOD,CNR,MALTA,,WORLD WIDE,WORLD WIDE,20/10/2011,25/10/2011,22000,$/Day,3-5 Months,,Ta Ho Maritime
12/10/2011,Atalanta,2010,82094,0,PERIOD,USEABULK,CONTINENT,,WORLD WIDE,WORLD WIDE,01/01/2012,15/01/2012,13600,$/Day,11-13 Months,,Neda Maritime Agency
12/10/2011,Silver Navigator,2011,80312,0,PERIOD,BUNGE,HONG KONG,,WORLD WIDE,WORLD WIDE,25/10/2011,05/11/2011,14250,$/Day,4-6 Months,,Silver Lake Shpg.
12/10/2011,Pantazis L,2003,76629,0,PERIOD,TORM,SAN CIPRIAN,,WORLD WIDE,WORLD WIDE,13/10/2011,18/10/2011,24700,$/Day,4-6 Months,,Kyla Shipping Co.
12/10/2011,Carol,1999,75608,0,PERIOD,CNR,LIVERPOOL,,SINGAPORE-JAPAN,SINGAPORE-JAPAN,27/10/2011,01/11/2011,22000,$/Day,4-6 Months,,Nippon Yusen Kaisha
12/10/2011,Brave Star,2000,73981,0,PERIOD,GMI,Tomokomai,,WORLD WIDE,WORLD WIDE,15/10/2011,20/10/2011,13750,$/Day,4-6 Months,,Kyowa Kisen K.K.
12/10/2011,Fearless I,1997,73427,0,PERIOD,STX PAN OCEAN,RICHARDS BAY,,WORLD WIDE,WORLD WIDE,22/10/2011,27/10/2011,16000,$/Day,4-6 Months,600000,KGAL
