Panamax Bulk Spot Fixtures,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Created 17 July 2014 13:56,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Ballast Bonus,Owner
22/12/2011,Jian Hua,2000,73747,0,TCT,VISTA,PORTBURY,USEC,BLACK SEA,BLACK SEA,30/12/2011,04/01/2012,14625,$/Day,,Fujian Huarong
22/12/2011,Edfu,1997,71130,0,TCT,BEIBU GULF,QINGDAO,NOPAC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,22/12/2011,22/12/2011,9500,$/Day,,National Navigation
22/12/2011,Full Comfort,1994,70181,0,TCT,LOUIS DREYFUS,CJK,PARANAGUA,CHINA,CHINA,22/12/2011,22/12/2011,11000,$/Day,,COSCO (Hong Kong)
22/12/2011,Halo Cygnus,1998,73937,0,ORE,LUCCHINI,,PONTA DA MADEIRA,PIOMBINO,,05/01/2012,11/01/2012,22,$/Tonne,,Mitsui O.S.K. Lines
21/12/2011,Great Bless,1997,73251,0,TCT,BUNGE,VADO LIGURE,VADO LIGURE,Skaw-Cape Passero,Skaw-Cape Passero,28/12/2011,02/01/2012,14500,$/Day,,Sinotrans & CSC
21/12/2011,Mar Reina,1998,71969,0,TCT,CNR,JAPAN,EC AUST,SINGAPORE-JAPAN,SINGAPORE-JAPAN,25/01/2012,31/01/2012,11000,$/Day,,Mitsubishi Ore Tpt.
21/12/2011,Konmax,2000,72270,0,TCT,CARGILL,MATSUURA,POLAND,INCHON,INCHON,23/12/2011,28/12/2011,10000,$/Day,,Konlink Shipping Pte
21/12/2011,Wadi Tiba,2011,80469,0,TCT,JALDHI,Song Xia,INDONESIA,INDIA,INDIA,25/12/2011,30/12/2011,11150,$/Day,,National Navigation
21/12/2011,TBN,,0,60000,ORE,TATA,,MO I RANA,IJMUIDEN,,01/01/2012,16/01/2012,8.3,$/Tonne,,
21/12/2011,Iron Manolis,2007,82800,70000,COAL,J.ARON,,MOBILE,ROTTERDAM,,02/01/2012,06/01/2012,19.75,$/Tonne,,Excel Maritime Carr.
21/12/2011,Chang Hang Huang,2011,92500,0,TCT,DEIULEMAR,ANTWERP,BALTIC,PIOMBINO,PIOMBINO,24/12/2011,30/12/2011,18000,$/Day,,
