Panamax Bulker Register,,,,,,,,,,,
"Bulkers 65,000 - 99,999 dwt",,,,,,,,,,,
,,,,,,,,,,,
Created 17 July 2014 15:18,,,,,,,,,,,
,,,,,,,,,,,
Type,Hull Type,Name,Size,Unit,Dwt,GT,Flag,Built,Mn,Yard,Current Owner
Bulk,,Arcadia Salute,"95,575.00",DWT,95575,50628,Japan,2014,3,Imabari S.B.,Misuga Kaiun Co. Ltd
Bulk,,KM Shanghai,"80,545.00",DWT,80545,42699,Liberia,2014,3,Japan Marine United,Yang Ming
Bulk,,Clipper Excelsior,"66,684.00",DWT,66684,38203,Panama,2014,3,Mitsui SB,Nissen Kaiun K.K.
Bulk,,Brilliant Advance,"81,798.00",DWT,81798,43163,Japan,2014,3,Tsuneishi Cebu,Mitsui O.S.K. Lines
Bulk,,Haramachi Maru,"90,839.00",DWT,90839,50728,Japan,2014,3,Oshima S.B. Co.,Nippon Yusen Kaisha
Bulk,,Stella Dawn,"81,700.00",DWT,81700,44138,Singapore,2014,3,Shanghai Waigaoqiao,Rizhao Steel
Bulk,,Ateni,"87,328.00",DWT,87328,48014,Malta,2014,3,Hudong Zhonghua,Goulandris Bros. Ltd
Bulk,,Union Voyager,"82,970.00",DWT,82970,44647,Greece,2014,3,COSCO Dalian,Union Marine Ent.
Bulk,,Kypros Sea,"76,600.00",DWT,76600,41400,Cyprus,2014,3,Imabari S.B.,Safe Bulkers Inc.
Bulk,,Bulk Malaysia,"95,766.00",DWT,95766,50625,Panama,2014,3,Imabari S.B.,Unknown
Bulk,,Oratorio,"81,842.00",DWT,81842,43007,Panama,2014,2,Tsuneishi Cebu,K-Line
Bulk,,Puppis Ocean,"81,070.00",DWT,81070,43291,Singapore,2014,3,Japan Marine United,Mitsubishi Corp.
Bulk,,Santa Emilia,"77,134.00",DWT,77134,40962,Panama,2014,3,Oshima S.B. Co.,Mitsubishi Corp.
Bulk,,Egret Oasis,"76,028.00",DWT,76028,41254,Hong Kong,2014,3,Hudong Zhonghua,Xiamen ITG
Bulk,,Phoenix Ocean,"76,067.00",DWT,76067,41254,Hong Kong,2014,3,Hudong Zhonghua,Xiamen ITG
Bulk,,Rio Grita,"75,378.00",DWT,75378,41218,Liberia,2014,2,Taizhou Catic SB,MST - Mineralien
Bulk,,Ionic Kleos,"82,250.00",DWT,82250,43013,Marshall Islands,2014,3,Tsuneishi Zosen,Ionic Holdings Inc
Bulk,,Bulk Poland,"82,150.00",DWT,82150,43025,Singapore,2014,3,Tsuneishi Zosen,Unknown Hong Kong
Bulk,,Scarlet Cardinal,"82,165.00",DWT,82165,43010,Panama,2014,2,Tsuneishi Zosen,K-Line
Bulk,,Ocean Lord,"82,134.00",DWT,82134,43005,Panama,2014,2,Tsuneishi Zosen,United Ocean
Bulk,,Corona Splendor,"89,006.00",DWT,89006,49720,Japan,2014,2,Imabari S.B.,K-Line
Bulk,,Bahri Wafi,"81,998.00",DWT,81998,43894,Saudi Arabia,2014,2,Oshima S.B. Co.,Bahri
Chip,,Xinhui Express,"70,060.00",DWT,70060,54693,Hong Kong,2014,2,Nantong Mingde,Nova Shpg & Logist.
Bulk,,King Santos,"82,624.00",DWT,82624,45223,Panama,2014,2,STX Shipbuild.,Mitsubishi Corp.
Bulk,,Jin Xia Feng,"81,537.00",DWT,81537,45263,Hong Kong,2014,2,Guangzhou Longxue,China Shipping Group
Bulk,,Crystalia,"77,525.00",DWT,77525,41882,Greece,2014,2,Jiangnan SY Group,Diana Shipping Inc.
Bulk,,Indian Goodwill,"76,000.00",DWT,76000,42576,Liberia,2014,2,STX Shipbuild.,Zodiac Maritime Agy.
Bulk,,Crimson Monarch,"77,116.00",DWT,77116,40930,Singapore,2014,2,Imabari S.B.,Marubeni Corp
Bulk,,United Splendour,"82,129.00",DWT,82129,43005,Panama,2014,1,Tsuneishi Zosen,United Ocean
Bulk,,Centaurus Ocean,"81,056.00",DWT,81056,43291,Singapore,2014,2,Japan Marine United,Mitsubishi Corp.
Bulk,,King Seattle,"82,566.00",DWT,82566,45223,Panama,2014,1,STX Shipbuild.,Mitsubishi Corp.
Bulk,,Q Deb,"84,970.00",DWT,84970,47003,Marshall Islands,2014,1,Sasebo H.I.,Quintana Shipping
Bulk,,Afroessa,"78,175.00",DWT,78175,41963,Cyprus,2014,2,Toyohashi SB,Alassia Newships
Open Hatch,,Siskin Arrow,"72,927.00",DWT,72927,46295,Marshall Islands,2014,1,Mitsui SB,Misuga Kaiun Co. Ltd
Bulk,,Bahri Bulk,"81,998.00",DWT,81998,43894,Saudi Arabia,2014,1,Oshima S.B. Co.,Bahri
Bulk,,Sea Gemini,"81,716.00",DWT,81716,44276,Marshall Islands,2014,1,Wuchang S.B.,Fredriksen Group
Bulk,,CBC Fuyi,"81,762.00",DWT,81762,43974,Hong Kong,2014,1,Sainty SB (Yangzhou),Capital Bulk Carrier
Bulk,,Andreas Petrakis,"75,999.00",DWT,75999,41254,Malta,2014,1,Hudong Zhonghua,Iolcos Hellenic
Bulk,,Jin Xiu Feng,"81,531.00",DWT,81531,45263,Hong Kong,2014,1,Guangzhou Longxue,China Shipping Group
Bulk,,Kypros Land,"77,060.00",DWT,77060,40951,Cyprus,2014,1,Imabari S.B.,Safe Bulkers Inc.
Bulk,,Rui Ning 21,"75,564.00",DWT,75564,40913,Peoples' Republic of China,2014,1,Huangpu Wenchong (H),China Huaneng
Bulk,,Palais,"75,434.00",DWT,75434,41811,Marshall Islands,2014,1,Jiangsu Rongsheng,Global Marine SM
Bulk,,Zheng Yao,"82,500.00",DWT,82500,43951,Panama,2014,1,Wuhu Shipyard,Fujian Ocean Shpg
Bulk,,GL Iguazu,"98,704.00",DWT,98704,51905,Panama,2014,1,Tsuneishi Zhoushan,Glocal Japan Inc.
Bulk,,Orient Genesis,"78,162.00",DWT,78162,41963,Singapore,2014,1,Toyohashi SB,Mitsui & Co
Bulk,,Shandong Hai Yao,"75,503.00",DWT,75503,41605,Peoples' Republic of China,2014,1,Jiangsu Rongsheng,Minsheng Financial
Bulk,,Ming De,"81,200.00",DWT,81200,44543,Hong Kong,2014,1,Dalian Shipbuilding,China Shipping Group
Bulk,,Ever Judger,"82,000.00",DWT,82000,44060,Panama,2014,1,Zhejiang Judger S.B.,Unknown
Bulk,,Tenso,"97,102.00",DWT,97102,60876,Liberia,2014,1,Japan Marine United,Daiichi Chuo
Bulk,,Sainty Velocity,"82,000.00",DWT,82000,43974,Hong Kong,2014,1,Sainty SB (Yangzhou),Sainty Marine
Bulk,,Framura,"76,833.00",DWT,76833,42495,Cayman Islands,2014,1,SPP Shipbuilding,Premuda S.P.A.N.
Chip,,Kalimantan Express,"70,382.00",DWT,70382,54550,Hong Kong,2014,1,Jiangsu New YZJ,Nova Shpg & Logist.
Bulk,,Sainty Vitality,"81,707.00",DWT,81707,43813,Hong Kong,2014,1,Sainty SB (Yangzhou),Sainty Marine
Bulk,,Antonia S,"81,462.00",DWT,81462,45263,Liberia,2014,1,Guangzhou Longxue,Sea Gate Navigation
Bulk,,Draftslayer,"66,622.00",DWT,66622,38217,Greece,2014,1,Mitsui SB,Niovis Shipping Co.
Bulk,,Bahri Grain,"81,998.00",DWT,81998,43894,Saudi Arabia,2014,1,Oshima S.B. Co.,Bahri
Open Hatch,,Macaw Arrow,"72,400.00",DWT,72400,44866,Bahamas,2014,1,Oshima S.B. Co.,Gearbulk Ltd.
Bulk,,Diamond Ocean,"81,200.00",DWT,81200,44543,Hong Kong,2014,1,Dalian Shipbuilding,Sinochem Group
Bulk,,Indian Solidarity,"75,300.00",DWT,75300,42576,Liberia,2014,1,STX Shipbuild.,Eastern Pacific Shpg
Bulk,,Zheng Hui,"82,500.00",DWT,82500,43951,Panama,2014,1,Wuhu Shipyard,Fujian Ocean Shpg
Bulk,,Xin Hua Sheng Hai,"78,306.00",DWT,78306,52304,Peoples' Republic of China,1995,10,Zhoushan Xinya,Zhejiang Energy
Bulk,,Huayang Endeavour,"75,492.00",DWT,75492,41605,Hong Kong,2013,12,Jiangsu Rongsheng,Huayang Maritime
Bulk,,KM Hakata,"95,349.00",DWT,95349,50626,Panama,2013,12,Imabari S.B.,Higaki Sangyo Kaisha
Bulk,,Hokuriku Maru,"91,073.00",DWT,91073,50668,Japan,2013,12,Oshima S.B. Co.,Nippon Yusen Kaisha
Bulk,,Shen Hua 811,"76,150.00",DWT,76150,42203,Peoples' Republic of China,2013,12,Shanhaiguan S.Y.,Shenhua Group
Bulk,,Boga Indah,"87,181.00",DWT,87181,48065,Singapore,2013,12,Hudong Zhonghua,Pacsari Pte Ltd.
Bulk,,Fortune Harmony,"82,215.00",DWT,82215,44543,Hong Kong,2013,12,Dalian Shipbuilding,South Ocean Shpg.
Bulk,,Hua Hai Hang 3,"82,237.00",DWT,82237,44280,Peoples' Republic of China,2013,11,Beihai Shipyard,Xiamen Hua Hai
Bulk,,Daebo Gladstone,"81,500.00",DWT,81500,44102,Panama,2013,12,Hyundai Samho,Daebo International
Bulk,,Wen De,"81,200.00",DWT,81200,44543,Hong Kong,2013,12,Dalian Shipbuilding,China Shipping Group
Bulk,,RTM Djulpan,"70,373.00",DWT,70373,38617,United Kingdom,2013,12,Oshima S.B. Co.,Rio Tinto Group
Bulk,,Marina Bliss,"82,800.00",DWT,82800,42887,Singapore,2013,12,Tsuneishi Zosen,K-Line
Bulk,,SITC Lushan,"76,132.00",DWT,76132,41684,Hong Kong,2013,11,Zhejiang Yangfan,SITC
