Panamax Bulk Period Fixtures,,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Created 17 July 2014 11:18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Period,Ballast Bonus,Owner
21/12/2012,Euro Carrier,2004,76602,0,PERIOD,PRIMINDS,FANGCHENG,,WORLD WIDE,WORLD WIDE,24/12/2012,26/12/2012,7500,$/Day,9-13 Months,,Euroceanica (UK)
20/12/2012,Cape Kasos,2012,81403,0,PERIOD,ULTRABULK,WC INDIA,,WORLD WIDE,WORLD WIDE,12/12/2012,12/12/2012,7950,$/Day,4-8 Months,,Cape Shipping
20/12/2012,Silver Dragon,2006,74748,0,PERIOD,OLDENDORFF,SINGAPORE,,WORLD WIDE,WORLD WIDE,20/12/2012,20/12/2012,7250,$/Day,4-7 Months,,Valles Steamship
19/12/2012,Caravos Glory,2012,81672,0,PERIOD,GLENCORE,LANSHAN,,WORLD WIDE,WORLD WIDE,20/12/2012,24/12/2012,7850,$/Day,4-7 Months,,Iason Hellenic
17/12/2012,Leda C,2011,81526,0,PERIOD,GLENCORE,JINTANG,,WORLD WIDE,WORLD WIDE,19/12/2012,20/12/2012,7750,$/Day,4-7 Months,,Target Marine S.A.
14/12/2012,Melite,2004,76423,0,PERIOD,CARGILL,XIAMEN,,WORLD WIDE,WORLD WIDE,26/12/2012,05/01/2013,7750,$/Day,18-24 Months,,Diana Shipping Inc.
13/12/2012,Rosco Litchi,2011,82153,0,PERIOD,UNITED,CJK,,WORLD WIDE,WORLD WIDE,25/12/2012,30/12/2012,7500,$/Day,4-8 Months,,Rewood Ocean Shpg.
12/12/2012,Rosco Gingko,2005,76620,0,PERIOD,CNR,LUMUT,,WORLD WIDE,WORLD WIDE,20/12/2012,22/12/2012,7250,$/Day,4-9 Months,,Rewood Ocean Shpg.
11/12/2012,Pina Cafiero,2002,75688,0,PERIOD,NORDEN,CHINA,,WORLD WIDE,WORLD WIDE,25/12/2012,31/12/2012,7500,$/Day,12-18 Months,,Augustea Ship Mngt
10/12/2012,Maria G.O.,2011,87378,0,PERIOD,CNR,KAOHSIUNG,,WORLD WIDE,WORLD WIDE,10/12/2012,15/12/2012,7250,$/Day,4-7 Months,,Gleamray Maritime
10/12/2012,Iron Kalypso,2006,82224,0,PERIOD,KALYPSO,EC INDIA,,WORLD WIDE,WORLD WIDE,01/01/2013,10/01/2013,8250,$/Day,6-9 Months,,Excel Maritime Carr.
10/12/2012,Iron Brooke,2007,82300,0,PERIOD,GLENCORE,SINGAPORE-JAPAN,,WORLD WIDE,WORLD WIDE,01/01/2013,10/01/2013,8250,$/Day,6-9 Months,,Excel Maritime Carr.
10/12/2012,Iron Bill,2006,82191,0,PERIOD,GLENCORE,SINGAPORE-JAPAN,,WORLDWIDE,WORLDWIDE,01/01/2013,10/01/2013,8250,$/Day,6-9 Months,,Excel Maritime Carr.
10/12/2012,Assimina,1997,72126,0,PERIOD,E SHIPS,SINGAPORE-JAPAN,,WORLD WIDE,WORLD WIDE,30/01/2013,05/02/2013,7750,$/Day,11-15 Months,,PL Shipping Co.
05/12/2012,Silver Phoenix,2006,74759,0,PERIOD,MINA SHIPPING DMCC,GHENT,,Skaw-Cape Passero,Skaw-Cape Passero,05/12/2012,05/12/2012,8000,$/Day,4-6 Months,,Valles Steamship
03/12/2012,Ecomar G. O.,2008,75093,0,PERIOD,NORDEN,DALIAN,,WORLDWIDE,WORLDWIDE,05/12/2012,10/12/2012,8000,$/Day,8-15 Months,,Gleamray Maritime
29/11/2012,Rosco Olive,2010,74979,0,PERIOD,NORDEN,XINGANG,,WORLD WIDE,WORLD WIDE,30/11/2012,04/12/2012,7350,$/Day,4-6 Months,,Rewood Ocean Shpg.
28/11/2012,Eleftheria,2001,76058,0,PERIOD,CNR,QINGDAO,,WORLD WIDE,WORLD WIDE,01/12/2012,15/12/2012,7750,$/Day,4-7 Months,,Poseidon Shpg. Co.
28/11/2012,Ocean Gem,2011,75618,0,PERIOD,NORDEN,HUANGPU,,WORLD WIDE,WORLD WIDE,06/12/2012,10/12/2012,8000,$/Day,8-15 Months,,Gleamray Maritime
23/11/2012,Elinakos,1997,73751,0,PERIOD,HUDSON,DAHEJ,,WORLD WIDE,WORLD WIDE,23/11/2012,23/12/2012,7500,$/Day,9-13 Months,,Excel Maritime Carr.
23/11/2012,Yasa Eagle,2012,81525,0,PERIOD,CNR,PRACHUAP,,WORLD WIDE,WORLD WIDE,27/12/2012,30/12/2012,9000,$/Day,10-15 Months,,Yasa Shpg. Industry
23/11/2012,Iron Knight,2004,76429,0,PERIOD,HUDSON,QINGDAO,,WORLDWIDE,WORLDWIDE,23/11/2012,23/11/2012,8250,$/Day,4-6 Months,,Excel Maritime Carr.
22/11/2012,Good Luck,2011,75031,0,PERIOD,RAFFLES,JINTANG,,WORLD WIDE,WORLD WIDE,27/11/2012,28/11/2012,7300,$/Day,4-7 Months,,Shandong F.E. Marine
21/11/2012,Rosco Plum,2004,76801,0,PERIOD,CNR,QINGDAO,,WORLD WIDE,WORLD WIDE,23/11/2012,28/11/2012,7500,$/Day,4-6 Months,,Rewood Ocean Shpg.
21/11/2012,Golden Lyderhorn,1999,74242,0,PERIOD,AQUAVITA,HAMBURG,,WORLD WIDE,WORLD WIDE,23/11/2012,28/11/2012,12500,$/Day,4-6 Months,,Golden Ocean
21/11/2012,Arethusa,2007,73593,0,PERIOD,CARGILL,QINGDAO,,WORLDWIDE,WORLDWIDE,20/11/2012,30/11/2012,7300,$/Day,18-24 Months,,Diana Shipping Inc.
20/11/2012,Efessos Wave,2012,87332,0,PERIOD,COBELFRET,HAMBURG,,WORLD WIDE,WORLD WIDE,20/11/2012,20/11/2012,8500,$/Day,11-13 Months,,Teo Shipping Corp.
20/11/2012,Edelweiss,2004,73624,0,PERIOD,PACIFIC BULK,PMO,,WORLDWIDE,WORLDWIDE,23/11/2012,25/11/2012,9000,$/Day,3-5 Years,,
19/11/2012,Angela Star,1998,73798,0,PERIOD,HUDSON,TIANJIN,,WORLD WIDE,WORLD WIDE,05/12/2012,10/12/2012,7500,$/Day,5-9 Months,,Excel Maritime Carr.
19/11/2012,Tai Prize,2001,73169,0,PERIOD,GLENCORE,DANDONG,,WORLDWIDE,WORLDWIDE,29/11/2012,30/11/2012,7750,$/Day,11-13 Months,,Taiwan Navigation
16/11/2012,Ecoan G. O.,2008,75131,0,PERIOD,NORDEN,DALIAN,,WORLD WIDE,WORLD WIDE,23/11/2012,26/11/2012,7300,$/Day,4-8 Months,,Gleamray Maritime
15/11/2012,Rainbow Ace,2012,81755,0,PERIOD,ABML,LANSHAN,,WORLD WIDE,WORLD WIDE,24/11/2012,26/11/2012,7500,$/Day,4-8 Months,,Fujian Hongfa Group
12/11/2012,Abeille,2010,82154,0,PERIOD,LOUIS DREYFUS,YATSUSHIRO,,WORLD WIDE,WORLD WIDE,12/11/2012,12/11/2012,9200,$/Day,24-34 Months,,Anglo-Swiss
02/11/2012,Daebo Lumut,2011,81398,0,PERIOD,PGSC,LONGKOU,,WORLD WIDE,WORLD WIDE,04/11/2012,09/11/2012,7900,$/Day,4-6 Months,,Daebo Shipping
25/10/2012,Navios Orbiter,2004,76602,0,PERIOD,CNR,LUMUT,,WORLD WIDE,WORLD WIDE,28/10/2012,30/10/2012,7000,$/Day,4-7 Months,,Navios Holdings
23/10/2012,Unity Pride,2011,81391,0,PERIOD,GMI,PARADIP,,WORLDWIDE,WORLDWIDE,26/10/2012,31/10/2012,7000,$/Day,4-7 Months,,Golden Bridge
19/10/2012,Rosco Cypress,2004,76801,0,PERIOD,CNR,CJK,,WORLDWIDE,WORLDWIDE,20/10/2012,25/10/2012,7750,$/Day,4-6 Months,,Rewood Ocean Shpg.
19/10/2012,Far Eastern Jupiter,2007,82655,0,PERIOD,GOLDEN OCEAN,HONG KONG,,WORLDWIDE,WORLDWIDE,23/10/2012,24/10/2012,8200,$/Day,10-18 Months,,Tianjin Cosbulk
15/10/2012,Baltia,2005,75776,0,PERIOD,CNR,SASEBO,,WORLD WIDE,WORLD WIDE,15/10/2012,19/10/2012,8500,$/Day,3-5 Months,,Orion Bulkers
12/10/2012,Key Integrity,2011,83375,0,PERIOD,CNR,LONGKOU,,WORLD WIDE,WORLD WIDE,14/10/2012,18/10/2012,8500,$/Day,4-8 Months,,Nippon Yusen Kaisha
12/10/2012,Navios Star,2002,76662,0,PERIOD,KLAVENESS,CHINA,,WORLD WIDE,WORLD WIDE,25/10/2012,31/10/2012,8200,$/Day,12-16 Months,,Navios Holdings
11/10/2012,Iron Bradyn,2005,82769,0,PERIOD,GMI,LANSHAN,,WORLD WIDE,WORLD WIDE,12/10/2012,16/10/2012,8000,$/Day,11-18 Months,,Excel Maritime Carr.
09/10/2012,Darya Ma,2011,81874,0,PERIOD,CARGILL,FANGCHENG,,WORLD WIDE,WORLD WIDE,15/10/2012,20/10/2012,8050,$/Day,12-18 Months,,KC Maritime Ltd.
08/10/2012,Bulk Indonesia,2011,95712,0,PERIOD,COBELFRET,Krishnapatnam,,WORLD WIDE,WORLD WIDE,05/10/2012,09/10/2012,7000,$/Day,4-7 Months,,Nissen Kaiun K.K.
08/10/2012,Hephaestus,2001,74350,0,PERIOD,BUNGE,HONG KONG,,WORLD WIDE,WORLD WIDE,08/10/2012,08/10/2012,7000,$/Day,6-10 Months,,Aegean Bulk Co. Inc.
05/10/2012,Jag Arya,2011,80480,0,PERIOD,COBELFRET,GOA,,WORLD WIDE,WORLD WIDE,14/10/2012,18/10/2012,7750,$/Day,3-5 Months,,Great Eastern Shpg.
05/10/2012,Hellenic Wind,1997,73981,0,PERIOD,HUDSON,GUANGZHOU,,WORLDWIDE,WORLDWIDE,08/10/2012,12/10/2012,7350,$/Day,5-7 Months,,Hellenic Carriers
04/10/2012,W Star,2011,92842,0,PERIOD,COBELFRET,EC INDIA,,WORLD WIDE,WORLD WIDE,07/10/2012,10/10/2012,6500,$/Day,7-14 Months,,W Marine Inc.
04/10/2012,Alpha Vision,2012,81720,0,PERIOD,HUDSON,PARADIP,,WORLD WIDE,WORLD WIDE,04/10/2012,04/10/2012,8000,$/Day,4-7 Months,,Alpha Tankers & Frt.
04/10/2012,Medi Kobe,2001,75933,0,PERIOD,NORDEN,SINGAPORE-JAPAN,,WORLD WIDE,WORLD WIDE,01/11/2012,01/12/2012,7500,$/Day,8-13 Months,,Nisshin Kaiun K.K.
04/10/2012,Angelic Glory,2002,75007,0,PERIOD,NORDEN,HUANGPU,,WORLDWIDE,WORLDWIDE,07/10/2012,15/10/2012,6750,$/Day,4-6 Months,,Diamlemos Shpg. Corp
03/10/2012,Manousos P,2008,82549,0,PERIOD,CARGILL,jingang,,WORLD WIDE,WORLD WIDE,03/10/2012,03/10/2012,7000,$/Day,11-19 Months,,Tsakos Shpg. & Trad.
03/10/2012,Oinoussian Lady,2004,76704,0,PERIOD,ABML,PMO,,WORLD WIDE,WORLD WIDE,04/10/2012,06/10/2012,6750,$/Day,4-7 Months,,Efploia Shpg. Co.
01/10/2012,Maritime Anita,2004,76737,0,PERIOD,SWISS MARINE,SOUTH CHINA,,WORLD WIDE,WORLD WIDE,01/10/2012,15/10/2012,7700,$/Day,10-15 Months,,Shinomiya Tanker Co.
27/09/2012,Rosco Plum,2004,76801,0,PERIOD,CNR,Caofeidian,,WORLD WIDE,WORLD WIDE,02/10/2012,06/10/2012,6750,$/Day,6-8 Months,,Rewood Ocean Shpg.
19/09/2012,Panamax Trader,1990,69338,0,PERIOD,PHAETHON,Cape Passero,,Cape Passero,Cape Passero,01/10/2012,10/10/2012,9250,$/Day,60-90 Days,,Chian Spirit M'time
17/09/2012,Avra,2001,75121,0,PERIOD,NORDEN,PARADIP,,WORLD WIDE,WORLD WIDE,18/09/2012,22/09/2012,6500,$/Day,10-16 Months,,Carras Hellas
14/09/2012,Captain Kostas S,2012,82000,0,PERIOD,CARGILL,HYUNDAI,,WORLD WIDE,WORLD WIDE,20/10/2012,30/10/2012,8000,$/Day,12-18 Months,,
14/09/2012,Star of Sawara,2008,76553,0,PERIOD,MARUBENI,ZHANGZHOU,,WORLD WIDE,WORLD WIDE,14/09/2012,14/09/2012,7000,$/Day,4-7 Months,,Shoei Kisen K.K.
13/09/2012,Dimitris Apesakis,2008,82800,0,PERIOD,MARUBENI,SINGAPORE,RECALADA,JAPAN,JAPAN,13/09/2012,13/09/2012,6150,$/Day,3-6 Months,,Mykonos Shpg. Co.
12/09/2012,Rosco Poplar,2008,82331,0,PERIOD,EDF,CHIWAN,,WORLD WIDE,WORLD WIDE,12/09/2012,12/09/2012,6900,$/Day,5-10 Months,,Rewood Ocean Shpg.
12/09/2012,Atlantic Breeze,2004,76267,0,PERIOD,CARGILL,XINSHA,,WORLD WIDE,WORLD WIDE,12/09/2012,12/09/2012,6900,$/Day,4-8 Months,,Scinicariello
12/09/2012,Elbe,2001,75259,0,PERIOD,SWISS MARINE,PHU MAY,,WORLD WIDE,WORLD WIDE,12/09/2012,12/09/2012,7000,$/Day,5-10 Months,,"Nord, Reederei, Ltd."
06/09/2012,KM Sydney,2010,80638,0,PERIOD,KLAVENESS,TAIWAN,,WORLD WIDE,WORLD WIDE,06/09/2012,06/09/2012,7500,$/Day,4-6 Months,,Kuang Ming Shpg.
06/09/2012,RBD Capri,2008,76619,0,PERIOD,GMI,YOSU,,WORLD WIDE,WORLD WIDE,10/09/2012,10/09/2012,7000,$/Day,,,Shoei Kisen K.K.
