Panamax Bulk Period Fixtures,,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Created 17 July 2014 11:18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Period,Ballast Bonus,Owner
05/09/2012,Ataman,2001,72867,0,PERIOD,NORDEN,KUNSAN,,WORLD WIDE,WORLD WIDE,11/09/2012,13/09/2012,6500,$/Day,3-7 Months,,Transocean Maritime
04/09/2012,Fortune Sunny,2008,82338,0,PERIOD,CNR,MURORAN,,WORLD WIDE,WORLD WIDE,04/09/2012,05/09/2012,7500,$/Day,4-8 Months,,Cido Shipping
31/08/2012,Q Arion,2011,82188,0,PERIOD,CARGILL,Krishnapatnam,,WORLD WIDE,WORLD WIDE,03/09/2012,05/09/2012,9500,$/Day,23-25 Months,,Quintana Ship Mngt.
30/08/2012,Archegetis,2011,81076,0,PERIOD,EDF,KOSICHANG,,WORLD WIDE,WORLD WIDE,29/08/2012,02/09/2012,8100,$/Day,4-7 Months,,
30/08/2012,Bahia Blanca SW,2011,76483,0,PERIOD,OETKER,FAR EAST,,WORLD WIDE,WORLD WIDE,01/01/2013,01/01/2013,9000,$/Day,11-13 Months,,Shih Wei Navigation
28/08/2012,Sunshine,2010,76000,0,PERIOD,NORDEN,HUANGPU,,WORLD WIDE,WORLD WIDE,28/08/2012,28/08/2012,8000,$/Day,4-6 Months,,Alpha Sigma Shpg.
28/08/2012,Angelic Grace,2001,74764,0,PERIOD,NORDEN,CJK,,WORLD WIDE,WORLD WIDE,19/08/2012,19/08/2012,8000,$/Day,4-6 Months,,Diamlemos Shpg. Corp
23/08/2012,Prime Lily,2012,81516,0,PERIOD,CLEARLAKE SHIPPING,USGF,,WORLD WIDE,WORLD WIDE,12/09/2012,15/09/2012,11800,$/Day,24-30 Months,,
23/08/2012,Kalypso,1997,73762,0,PERIOD,D'AMICO,Dangjin,,WORLD WIDE,WORLD WIDE,23/08/2012,27/08/2012,8000,$/Day,4-6 Months,,Newfront Shipping SA
22/08/2012,Anna Maria,2012,81404,0,PERIOD,BUNGE,SUNDONG,,WORLD WIDE,WORLD WIDE,22/08/2012,22/08/2012,8500,$/Day,4-6 Months,,Aegean Bulk Co. Inc.
22/08/2012,Afovos,2001,74350,0,PERIOD,BUNGE,CJK,,WORLD WIDE,WORLD WIDE,22/08/2012,22/08/2012,7500,$/Day,4-6 Months,,Aegean Bulk Co. Inc.
20/08/2012,Pella,2010,82163,0,PERIOD,BUNGE,KAKOGOWA,,WORLD WIDE,WORLD WIDE,16/08/2012,16/08/2012,8500,$/Day,4-6 Months,,Andriaki Shpg. Co.
20/08/2012,Navios Altair,2006,83001,0,PERIOD,GMI,XINGANG,,WORLD WIDE,WORLD WIDE,26/08/2012,31/08/2012,7250,$/Day,4-6 Months,,World Marine Co.
17/08/2012,Little Prince,2001,74133,0,PERIOD,MARUBENI,HONG KONG,,WORLD WIDE,WORLD WIDE,22/08/2012,24/08/2012,8000,$/Day,4-6 Months,,Alcyon Shpg.
31/07/2012,Naias,2006,73546,0,PERIOD,ULTRABULK,CHINA,,WORLD WIDE,WORLD WIDE,01/08/2012,01/09/2012,9250,$/Day,17-23 Months,,Diana Shipping Inc.
27/07/2012,Oceanis,2001,75211,0,PERIOD,ULTRABULK,XINSHA,,WORLD WIDE,WORLD WIDE,15/08/2012,15/08/2012,9250,$/Day,17-23 Months,,Diana Shipping Inc.
24/07/2012,Oceanic Breeze,2005,77075,0,PERIOD,E SHIPS,LONGKOU,,WORLD WIDE,WORLD WIDE,25/07/2012,05/08/2012,10250,$/Day,12-16 Months,,Yamamoto Kaiun K.K.
23/07/2012,KM Tokyo,2010,83483,0,PERIOD,CNR,ZHOUSHAN,,WORLD WIDE,WORLD WIDE,23/07/2012,23/07/2012,9150,$/Day,4-6 Months,,Kuang Ming Shpg.
19/07/2012,Alpha Progress,2012,81720,0,PERIOD,GMI,MOKPO,,WORLD WIDE,WORLD WIDE,19/07/2012,19/07/2012,9500,$/Day,3-5 Months,,
19/07/2012,STX Clover,2012,81170,0,PERIOD,NORDEN,BHAVNAGAR,,WORLD WIDE,WORLD WIDE,19/07/2012,19/07/2012,9750,$/Day,4-6 Months,,STX Pan Ocean
19/07/2012,Sea Urchin,2001,74193,0,PERIOD,CNR,TAIWAN,,WORLD WIDE,WORLD WIDE,10/08/2012,20/08/2012,10000,$/Day,12-18 Months,,Alert Shipmngt.
18/07/2012,Moon Globe,2005,74432,0,PERIOD,GAVILON,QINGDAO,,WORLD WIDE,WORLD WIDE,06/08/2012,10/08/2012,9000,$/Day,4-7 Months,,Globus Maritime
17/07/2012,Pavian,2001,74716,0,PERIOD,CNR,FUJAIRAH,,WORLD WIDE,WORLD WIDE,23/07/2012,25/07/2012,10500,$/Day,4-6 Months,,Komrowski Befracht.
16/07/2012,Utopie,2008,75118,0,PERIOD,CNR,PARADIP,,WORLD WIDE,WORLD WIDE,16/07/2012,16/07/2012,10250,$/Day,4-7 Months,,Gorgonia di Nav.
10/07/2012,Darya Shree,2004,74774,0,PERIOD,CNR,SOUTH CHINA,,WORLD WIDE,WORLD WIDE,12/07/2012,14/07/2012,9250,$/Day,4-7 Months,,KC Maritime Ltd.
09/07/2012,Anna,2002,75162,0,PERIOD,CNR,ZHOUSHAN,,WORLD WIDE,WORLD WIDE,10/07/2012,16/07/2012,10000,$/Day,10-14 Months,,Adelfia Shpg. Ent.
06/07/2012,Sea Breeze,2009,91913,0,PERIOD,BAHRI,SOUTH AFRICA,,WORLD WIDE,WORLD WIDE,28/07/2012,02/08/2012,11000,$/Day,17-21 Months,,Scinicariello
06/07/2012,Jian Hua,2000,73747,0,PERIOD,CNR,HUANGPU,,WORLD WIDE,WORLD WIDE,07/07/2012,12/07/2012,8100,$/Day,4-6 Months,,Fujian Huarong
04/07/2012,Fortune Iris,2009,82372,0,PERIOD,PANACORE,LANSHAN,,WORLD WIDE,WORLD WIDE,04/07/2012,06/07/2012,8600,$/Day,4-6 Months,,Cido Shipping
04/07/2012,Xiao Yu,2012,76116,0,PERIOD,D'AMICO,HONG KONG,,WORLD WIDE,WORLD WIDE,04/07/2012,04/07/2012,8600,$/Day,75-150 Days,,East Sunrise Group
04/07/2012,Angelic Peace,2001,74764,0,PERIOD,KLAVENESS,Tokyo Bay,,WORLD WIDE,WORLD WIDE,08/07/2012,10/07/2012,9000,$/Day,3-5 Months,,Diamlemos Shpg. Corp
02/07/2012,Dione,2001,75172,0,PERIOD,EDF,CHINA,,WORLD WIDE,WORLD WIDE,15/07/2012,30/07/2012,9700,$/Day,24-29 Months,,Diana Shipping Inc.
02/07/2012,Anna Smile,2004,74823,0,PERIOD,GMI,INCHON,,WORLD WIDE,WORLD WIDE,06/07/2012,12/07/2012,7500,$/Day,4-6 Months,,Prosperity Bay Shpg.
26/06/2012,Darya Jyoti,2010,80545,0,PERIOD,GMI,KUNSAN,,WORLD WIDE,WORLD WIDE,26/06/2012,26/06/2012,8250,$/Day,4-7 Months,,Chellaram Shpg.
25/06/2012,Aeolian Heritage,2011,80650,0,PERIOD,OLDENDORFF,BELFAST,,WORLD WIDE,WORLD WIDE,28/06/2012,03/07/2012,10000,$/Day,3-5 Months,,Ocean Freighters
22/06/2012,Tyana,2010,82158,0,PERIOD,BUNGE,KINUURA,,WORLD WIDE,WORLD WIDE,27/06/2012,27/06/2012,9500,$/Day,4-6 Months,,Andriaki Shpg. Co.
20/06/2012,Lyric Star,2011,81276,0,PERIOD,EDF,SINGAPORE,,WORLD WIDE,WORLD WIDE,19/06/2012,09/06/2012,11000,$/Day,4-6 Months,,Orpheus Marine
19/06/2012,Evanthia,2001,74350,0,PERIOD,BUNGE,USGF,,WORLD WIDE,WORLD WIDE,20/06/2012,30/06/2012,14500,$/Day,4-6 Months,500000,Aegean Bulk Co. Inc.
14/06/2012,Prem Veena,2007,82792,0,PERIOD,GUNVOR INTL,RIZHAO,,WORLD WIDE,WORLD WIDE,16/06/2012,21/06/2012,8000,$/Day,3-7 Months,,Mercator Lines
13/06/2012,Abeille,2010,82154,0,PERIOD,JAPANESE CHRTR,TIANJIN,,WORLD WIDE,WORLD WIDE,23/06/2012,25/06/2012,8750,$/Day,4-6 Months,,Anglo-Swiss
13/06/2012,Protefs,2004,73630,0,PERIOD,CARGILL,SINGAPORE-JAPAN,,WORLD WIDE,WORLD WIDE,01/08/2012,01/08/2012,9000,$/Day,24-29 Months,,Diana Shipping Inc.
08/06/2012,Rosco Litchi,2011,82153,0,PERIOD,CNR,CHIWAN,,WORLD WIDE,WORLD WIDE,08/06/2012,08/06/2012,8800,$/Day,3-6 Months,,Rewood Ocean Shpg.
07/06/2012,Fortune Rainbow,2008,82372,0,PERIOD,KLAVENESS,QINGDAO,,WORLD WIDE,WORLD WIDE,09/06/2012,10/06/2012,7500,$/Day,5-8 Months,,
01/06/2012,Fortune Clover,2006,77430,0,PERIOD,EUROPEAN CHARTERER,RIZHAO,,WORLD WIDE,WORLD WIDE,02/06/2012,05/06/2012,8500,$/Day,5-8 Months,,Cido Shipping
01/06/2012,Kalliopi L,2001,76529,0,PERIOD,HUDSON,TAISHAN,,WORLD WIDE,WORLD WIDE,05/06/2012,10/06/2012,10000,$/Day,4-6 Months,,Kyla Shipping Co.
29/05/2012,Lotus Sun,1995,75464,0,PERIOD,OLDENDORFF,BAYUQUAN,,WORLD WIDE,WORLD WIDE,29/05/2012,29/05/2012,5950,$/Day,4-6 Months,,Doonam Shipping Co.
25/05/2012,Nirefs,2001,75311,0,PERIOD,NORDEN,MIZUSHIMA,,WORLD WIDE,WORLD WIDE,30/05/2012,31/05/2012,8500,$/Day,3-6 Months,,Diana Shipping Inc.
24/05/2012,Christina,2007,77053,0,PERIOD,MINA SHIPPING DMCC,SHANGHAI,,PMO-JAPAN,PMO-JAPAN,29/05/2012,31/05/2012,10000,$/Day,4-6 Months,,"Blumenthal, Johann"
24/05/2012,Kanishka,2005,76286,0,PERIOD,TRANSGRAIN,QUANZHOU,,WORLD WIDE,WORLD WIDE,24/05/2012,24/05/2012,10500,$/Day,3-5 Months,,Unknown
24/05/2012,Conti Saphir,2010,75200,0,PERIOD,GLENCORE,KAOHSIUNG,,WORLD WIDE,WORLD WIDE,29/05/2012,30/05/2012,9250,$/Day,4-6 Months,,Conti Reederei
23/05/2012,Rosco Olive,2010,74979,0,PERIOD,NORDEN,QINGDAO,,WORLD WIDE,WORLD WIDE,24/05/2012,29/05/2012,9000,$/Day,2-6 Months,,Rewood Ocean Shpg.
22/05/2012,Rena,2011,80333,0,PERIOD,QUADRA,SURABAYA,,WORLD WIDE,WORLD WIDE,29/05/2012,29/05/2012,10250,$/Day,4-6 Months,,Trojan Maritime Inc
18/05/2012,Rosco Palm,2011,82153,0,PERIOD,UNITED,RIZHAO,,WORLD WIDE,WORLD WIDE,18/05/2012,18/05/2012,10250,$/Day,3-6 Months,,Rewood Ocean Shpg.
18/05/2012,Shandong Hai Chang,2011,75200,0,PERIOD,CHINESE CHARTERER,JINTANG,,WORLD WIDE,WORLD WIDE,04/05/2012,04/05/2012,11000,$/Day,4-6 Months,,Shandong Ocean
18/05/2012,Coral Seas,2006,74477,0,PERIOD,NORDEN,QINGDAO,,WORLD WIDE,WORLD WIDE,18/05/2012,18/05/2012,9250,$/Day,3-5 Months,,Paragon Shpg.
18/05/2012,Arethusa,2007,73593,0,PERIOD,NORDEN,QINGDAO,,WORLD WIDE,WORLD WIDE,17/05/2012,25/05/2012,9250,$/Day,5-7 Months,,Diana Shipping Inc.
17/05/2012,Grain Express,2004,76466,0,PERIOD,WBC,SINGAPORE-JAPAN,,WORLD WIDE,WORLD WIDE,15/07/2012,30/08/2012,11000,$/Day,11-13 Months,,Excel Maritime Carr.
17/05/2012,Panamax Trader,1990,69338,0,PERIOD,PHAETHON,LIVERPOOL,Red Sea-PG,Cape Passero,Cape Passero,17/05/2012,17/05/2012,14250,$/Day,60-90 Days,,Chian Spirit M'time
15/05/2012,CK Angie,2011,81147,0,PERIOD,COBELFRET,QINGDAO,,WORLD WIDE,WORLD WIDE,25/05/2012,05/06/2012,11000,$/Day,8-13 Months,,Chang Myung Shipping
14/05/2012,Tian Bai Feng,2000,74269,0,PERIOD,MARUBENI,CHIWAN,,WORLD WIDE,WORLD WIDE,18/05/2012,20/05/2012,11500,$/Day,4-6 Months,,China Shpg. Intl.
11/05/2012,Zagora,2001,73435,0,PERIOD,SWISS MARINE,QINGDAO,,WORLD WIDE,WORLD WIDE,13/05/2012,18/05/2012,10500,$/Day,4-6 Months,,Goulandris Bros.
10/05/2012,Iron Bill,2006,82191,0,PERIOD,GLENCORE,TIANJIN,,WORLD WIDE,WORLD WIDE,10/05/2012,10/05/2012,11000,$/Day,10-13 Months,,Excel Maritime Carr.
10/05/2012,Nuri Bey,2011,80459,0,PERIOD,AQUAVITA,SOUTH KOREA,,WORLD WIDE,WORLD WIDE,10/05/2012,10/05/2012,10700,$/Day,3-5 Months,,Denak Depoculuk
10/05/2012,Tai Plenty,2000,73679,0,PERIOD,CNR,ZHANGJIAGANG,,WORLD WIDE,WORLD WIDE,08/05/2012,08/05/2012,10800,$/Day,3-6 Months,,Taiwan Navigation
10/05/2012,Joyous Society,1994,69274,0,PERIOD,CNR,PASSERO,,WORLD WIDE,WORLD WIDE,10/05/2012,10/05/2012,15000,$/Day,4-6 Months,,COSCO (Hong Kong)
09/05/2012,Feggites,1989,68744,0,PERIOD,CNR,HONG KONG,,WORLDWIDE,WORLDWIDE,12/05/2012,17/05/2012,10500,$/Day,6 Months,,Nautilus Marine
08/05/2012,Fortune Miracle,2009,82338,0,PERIOD,CNR,ZHOUSHAN,,WORLDWIDE,WORLDWIDE,08/05/2012,13/05/2012,11750,$/Day,4-7 Months,,Cido Shipping
