Panamax Bulk Period Fixtures,,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Created 17 July 2014 11:17,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Period,Ballast Bonus,Owner
23/12/2013,Inception,2011,80283,0,PERIOD,BEIBU GULF,HONG KONG,,WORLD WIDE,WORLD WIDE,23/12/2013,23/12/2013,14000,$/Day,5-7 Months,,Aegean Bulk Co. Inc.
19/12/2013,Conti Selenit,2010,75200,0,PERIOD,K2,SUAL,,WORLD WIDE,WORLD WIDE,26/12/2013,31/12/2013,13250,$/Day,10-12 Months,,Conti Reederei
18/12/2013,Sri Prem Vidya,2006,82273,0,PERIOD,JALDHI,HALDIA,,SINGAPORE-JAPAN,SINGAPORE-JAPAN,19/12/2013,24/12/2013,16000,$/Day,60-80 Days,,Mercator
17/12/2013,Navios Helios,2005,77075,0,PERIOD,CNR,PRACHUAP,,WORLD WIDE,WORLD WIDE,28/12/2013,01/01/2014,13000,$/Day,11-13 Months,,Navios Holdings
16/12/2013,Poseidon,2002,74350,0,PERIOD,OLDENDORFF,KUNSAN,,WORLD WIDE,WORLD WIDE,13/12/2013,15/12/2013,13250,$/Day,4-7 Months,,Aegean Bulk Co. Inc.
16/12/2013,Eva,2013,82620,0,PERIOD,LOUIS DREYFUS,TIANJIN,,WORLD WIDE,WORLD WIDE,18/12/2013,22/12/2013,15500,$/Day,4-6 Months,,Efnav Co. Ltd.
13/12/2013,Tiger East,2013,76000,0,PERIOD,BUNGE,COLOMBO,,WORLD WIDE,WORLD WIDE,17/12/2013,20/12/2013,14250,$/Day,1 Years,,Greathorse Shipping
13/12/2013,Bonanza Kotobuki,2012,75051,0,PERIOD,ADMI,GIBRALTAR,,SINGAPORE-JAPAN,SINGAPORE-JAPAN,13/12/2013,13/12/2013,28000,$/Day,90 Days,,Kotobuki Kaiun K.K.
13/12/2013,Anangel Omonia,1996,73519,0,PERIOD,D'AMICO,PARADIP,,WORLD WIDE,WORLD WIDE,06/12/2013,06/12/2013,14000,$/Day,4-6 Months,,Anangel-American
12/12/2013,Lyric Sun,2011,81450,0,PERIOD,BUNGE,Song Xia,,WORLD WIDE,WORLD WIDE,15/12/2013,20/12/2013,13500,$/Day,11-13 Months,,Orpheus Marine
12/12/2013,Archimedes,2011,81123,0,PERIOD,BEIBU GULF,ZHANGZHOU,,WORLD WIDE,WORLD WIDE,22/12/2013,27/12/2013,14000,$/Day,4-6 Months,,Archipelago Shipping
12/12/2013,Centurion,2005,76838,0,PERIOD,CARGILL,QINGDAO,,WORLD WIDE,WORLD WIDE,13/12/2013,18/12/2013,13300,$/Day,11-15 Months,,Primerose Shipping
12/12/2013,Samjohn Liberty,1998,74761,0,PERIOD,BUNGE,PORT SAID,,WORLD WIDE,WORLD WIDE,25/12/2013,10/01/2014,14750,$/Day,11-13 Months,,Golden Flame Shpg.
11/12/2013,Inception,2011,80283,0,PERIOD,KLAVENESS,HONG KONG,,WORLD WIDE,WORLD WIDE,17/12/2013,22/12/2013,14000,$/Day,4-6 Months,,Aegean Bulk Co. Inc.
11/12/2013,Pantelis,2000,74020,0,PERIOD,CNR,KAKINADA,,WORLD WIDE,WORLD WIDE,28/12/2013,02/01/2014,13600,$/Day,4-6 Months,,Euroseas Ltd.
11/12/2013,Alpha Happiness,1999,72893,0,PERIOD,CNR,BAHRAIN,,WORLD WIDE,WORLD WIDE,11/12/2013,13/12/2013,15000,$/Day,4-6 Months,,Alpha Tankers & Frt.
09/12/2013,Daebo Newcastle,2011,81398,0,PERIOD,EMPROS LINES,CJK,,WORLD WIDE,WORLD WIDE,19/12/2013,29/12/2013,13100,$/Day,4-6 Months,,Daebo Shipping
09/12/2013,Conti Selenit,2010,75200,0,PERIOD,BOCIMAR,ZHANJIANG,,WORLD WIDE,WORLD WIDE,04/12/2013,06/12/2013,13250,$/Day,10-12 Months,,Conti Reederei
09/12/2013,Captain Diamantis,2000,74757,0,PERIOD,NORDEN,TIANJIN,,WORLD WIDE,WORLD WIDE,10/12/2013,15/12/2013,12500,$/Day,5-7 Months,,Diamlemos Shpg. Corp
06/12/2013,Safe Voyager,2007,82514,0,PERIOD,SWISS MARINE,TIANJIN,,WORLD WIDE,WORLD WIDE,19/12/2013,24/12/2013,12750,$/Day,11-13 Months,,Kambara Kisen
06/12/2013,Trade Will,2012,81712,0,PERIOD,LOUIS DREYFUS,HALDIA,,WORLD WIDE,WORLD WIDE,12/12/2013,13/12/2013,13500,$/Day,4-8 Months,,Marine Management
06/12/2013,India,2011,80562,0,PERIOD,NORDEN,CJK,,WORLD WIDE,WORLD WIDE,06/12/2013,06/12/2013,13000,$/Day,5-8 Months,,Sea Justice S.A.
06/12/2013,Glory Rotterdam,2001,74716,0,PERIOD,KLAVENESS,ZHANJIANG,,WORLD WIDE,WORLD WIDE,10/12/2013,15/12/2013,12500,$/Day,4-6 Months,,Glory Ships
06/12/2013,Dimitris L,2001,73193,0,PERIOD,BUNGE,MALTA,,WORLD WIDE,WORLD WIDE,12/12/2013,17/12/2013,14000,$/Day,11-13 Months,,Vrontados Shipping
05/12/2013,Ocean Virgo,2012,81564,0,PERIOD,CNR,CJK,,WORLD WIDE,WORLD WIDE,07/12/2013,10/12/2013,12900,$/Day,3-5 Months,,Zhejiang Materials
05/12/2013,Galateia,2011,81359,0,PERIOD,BUNGE,Cape Passero,,WORLD WIDE,WORLD WIDE,25/12/2013,30/12/2013,14250,$/Day,11-13 Months,,Golden Bridge
05/12/2013,Navios Sagittarius,2006,75756,0,PERIOD,CASTLETON COMMODITIES INTERNATIONAL,ICELAND,,WORLD WIDE,WORLD WIDE,05/12/2013,05/12/2013,17500,$/Day,5-6 Months,,Navios MLP
