Panamax Bulk Period Fixtures,,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Created 17 July 2014 09:11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Period,Ballast Bonus,Owner
14/07/2014,Efessos Wave,2012,87332,0,PERIOD,COBELFRET,Jaigarh,,WORLD WIDE,WORLD WIDE,13/07/2014,16/07/2014,9250,$/Day,4-7 Months,,Teo Shipping Corp.
11/07/2014,Constantinos G.O.,2011,87447,0,PERIOD,CNR,ZHOUSHAN,,WORLD WIDE,WORLD WIDE,20/07/2014,24/07/2014,9250,$/Day,5-8 Months,,Gleamray Maritime
11/07/2014,Crest Trader,2006,76596,0,PERIOD,CNR,KAWASAKI,,WORLD WIDE,WORLD WIDE,23/07/2014,28/07/2014,10000,$/Day,11-13 Months,,Nissen Kaiun K.K.
10/07/2014,Barock,2007,82668,0,PERIOD,KLAVENESS,FANGCHENG,,WORLD WIDE,WORLD WIDE,17/07/2014,20/07/2014,10100,$/Day,11-13 Months,,Kambara Kisen
09/07/2014,Ocean Libra,2013,81504,0,PERIOD,CLEARLAKE SHIPPING,Lianyungang,,WORLDWIDE,WORLDWIDE,14/07/2014,24/07/2014,10250,$/Day,10-14 Months,,Zhejiang Materials
09/07/2014,Ocean Life,2003,75318,0,PERIOD,CNR,QINGDAO,,WORLDWIDE,WORLDWIDE,12/07/2014,22/07/2014,9000,$/Day,4-6 Months,,Alassia Newships
07/07/2014,AOM Georgina,2014,82146,0,PERIOD,CARGILL,DAHEJ,,WORLD WIDE,WORLD WIDE,29/06/2014,30/06/2014,11600,$/Day,11-13 Months,,Augustea Oceanbulk
07/07/2014,Afovos,2001,74350,0,PERIOD,NORDEN,BEI HAI,,WORLD WIDE,WORLD WIDE,07/07/2014,10/07/2014,9000,$/Day,4-9 Months,,Aegean Bulk Co. Inc.
04/07/2014,Trade Vision,2011,81838,0,PERIOD,LOUIS DREYFUS,INCHON,,WORLD WIDE,WORLD WIDE,10/07/2014,15/07/2014,9000,$/Day,4-7 Months,,Marine Management
04/07/2014,Loch Long,2013,81994,0,PERIOD,RWE,AUGHINISH,,WORLD WIDE,WORLD WIDE,17/07/2014,22/07/2014,,$/Day,11-13 Months,,Meiji Shipping Co.
04/07/2014,Lyric Poet,2012,81276,0,PERIOD,GMI,CHEJU,,WORLD WIDE,WORLD WIDE,04/07/2014,04/07/2014,9000,$/Day,4-8 Months,,Lyras Maritime Ltd.
04/07/2014,Q Shea,2007,76937,0,PERIOD,CNR,NANTONG,,WORLD WIDE,WORLD WIDE,04/07/2014,04/07/2014,9000,$/Day,4-6 Months,,Quintana Ship Mngt.
04/07/2014,Efrossini,2012,75003,0,PERIOD,CNR,PORT SUDAN,,WORLD WIDE,WORLD WIDE,09/07/2014,15/07/2014,10400,$/Day,10-14 Months,,Safe Bulkers Inc.
03/07/2014,Maria,2003,76015,0,PERIOD,HUDSON,QINGDAO,,WORLD WIDE,WORLD WIDE,06/07/2014,11/07/2014,9100,$/Day,7-10 Months,,Safe Bulkers Inc.
27/06/2014,Manousos P,2008,82549,0,PERIOD,ULTRABULK,KUNSAN,,WORLD WIDE,WORLD WIDE,27/06/2014,30/06/2014,8750,$/Day,4-7 Months,,Tsakos Shpg. & Trad.
25/06/2014,AMS Pegasus II,2012,81512,0,PERIOD,HYUNDAI GLOVIS,Dangjin,,WORLD WIDE,WORLD WIDE,30/06/2014,02/07/2014,8650,$/Day,5-8 Months,,HI Investments
19/06/2014,Olympic Galaxy,2009,81383,0,PERIOD,GREEK A/C,HONG KONG,,WORLD WIDE,WORLD WIDE,18/06/2014,20/06/2014,10750,$/Day,10-13 Months,,Olympic Shipping
19/06/2014,Achilles,2004,76878,0,PERIOD,OLDENDORFF,JAPAN,,WORLD WIDE,WORLD WIDE,01/07/2014,03/07/2014,8000,$/Day,5-7 Months,,Transocean Maritime
18/06/2014,Yiannis B,2008,82800,0,PERIOD,CARGILL,CJK,,WORLD WIDE,WORLD WIDE,16/06/2014,18/06/2014,9200,$/Day,6-9 Months,,Tsakos Shpg. & Trad.
18/06/2014,Ecostar G. O.,2007,75149,0,PERIOD,HUDSON,LANSHAN,,WORLD WIDE,WORLD WIDE,25/06/2014,30/06/2014,8350,$/Day,5-9 Months,,Gleamray Maritime
17/06/2014,Lucky Luke,1999,72443,0,PERIOD,POLARIS,PMO,,WORLD WIDE,WORLD WIDE,16/06/2014,21/06/2014,9840,$/Day,4-6 Months,,Nomikos Transworld
13/06/2014,United Treasure,2006,82926,0,PERIOD,SWISS MARINE,SOUTH JAPAN,,WORLD WIDE,WORLD WIDE,18/06/2014,22/06/2014,10000,$/Day,1 Years,,United Ocean
13/06/2014,CIC Piraeus,2001,76296,0,PERIOD,STARBOARD,FANGCHENG,,WORLD WIDE,WORLD WIDE,15/06/2014,20/06/2014,9250,$/Day,9-11 Months,,Golden Union
13/06/2014,Oceanis,2001,75211,0,PERIOD,GLENCORE,QINGDAO,,WORLD WIDE,WORLD WIDE,18/06/2014,25/06/2014,9000,$/Day,7-10 Months,,Diana Shipping Inc.
12/06/2014,Wooyang Queen,1997,71298,0,PERIOD,CNR,LANSHAN,,WORLD WIDE,WORLD WIDE,11/06/2014,11/06/2014,9200,$/Day,4-6 Months,,Woo Yang Shipping
04/06/2014,Ecopride G.O.,2013,81963,0,PERIOD,PRIMINDS,QINGDAO,,WORLD WIDE,WORLD WIDE,08/06/2014,10/06/2014,10500,$/Day,12 Months,,Gleamray Maritime
28/05/2014,Inception,2011,80283,0,PERIOD,GMI,HUANG HUA,,WORLD WIDE,WORLD WIDE,03/06/2014,08/06/2014,11000,$/Day,4-8 Months,,Aegean Bulk Co. Inc.
23/05/2014,Vishva Vijay,2012,80312,0,PERIOD,SIVABULK,MUNDRA,,WORLD WIDE,WORLD WIDE,25/05/2014,29/05/2014,10650,$/Day,3-5 Months,,Shpg Corp of India
23/05/2014,Coronis,2006,74381,0,PERIOD,CERRAGHIL,HALDIA,,WORLD WIDE,WORLD WIDE,05/06/2014,15/06/2014,11500,$/Day,11-14 Months,,Diana Shipping Inc.
22/05/2014,Trident Navigator,2000,75607,0,PERIOD,SWISS MARINE,HAKATA,,WORLD WIDE,WORLD WIDE,28/05/2014,29/05/2014,11800,$/Day,150-220 Days,,Marine Managers Ltd.
21/05/2014,Densa Flamingo,2012,82671,0,PERIOD,OLDENDORFF,WC INDIA,,WORLD WIDE,WORLD WIDE,21/05/2014,21/05/2014,,$/Day,3-6 Months,,Densa Shipping
20/05/2014,Archimedes,2011,81123,0,PERIOD,GMI,ZHANGJIAGANG,,WORLD WIDE,WORLD WIDE,16/05/2014,21/05/2014,11000,$/Day,4-8 Months,,Archipelago Shipping
20/05/2014,Shandong Hai Wang,2014,75538,0,PERIOD,SWISS MARINE,,,WORLD WIDE,WORLD WIDE,05/06/2014,30/06/2014,13000,$/Day,11-15 Months,,Shandong Shipping
16/05/2014,Clymene,2006,73600,0,PERIOD,GMI,Machong,,WORLD WIDE,WORLD WIDE,17/05/2014,22/05/2014,11250,$/Day,11-14 Months,,Hadley Shpg. Co.
16/05/2014,Corviglia,1999,73035,0,PERIOD,OLDENDORFF,DALIAN,,WORLD WIDE,WORLD WIDE,21/05/2014,26/05/2014,11000,$/Day,11-14 Months,,Suisse-Atlantique
12/05/2014,Navios Avior,2012,81355,0,PERIOD,UNITED,INCHON,,WORLD WIDE,WORLD WIDE,17/05/2014,22/05/2014,0,$/Day,11-13 Months,,Navios Holdings
12/05/2014,Atalandi,2014,76000,0,PERIOD,GLENCORE,DALIAN,,WORLD WIDE,WORLD WIDE,12/05/2014,13/05/2014,13500,$/Day,11-14 Months,,Diana Shipping Inc.
09/05/2014,Melia,2005,76225,0,PERIOD,RIO TINTO,CHINA,,WORLD WIDE,WORLD WIDE,09/05/2014,09/05/2014,12000,$/Day,11-14 Months,,Diana Shipping Inc.
09/05/2014,Atlantic Hero,2005,75804,0,PERIOD,OLDENDORFF,KAOHSIUNG,,WORLD WIDE,WORLD WIDE,11/05/2014,12/05/2014,11300,$/Day,3-6 Months,,Livanos Group
